;;;ÓÁÌË˜Ì˚Â;œÓÎÂ 3;œÓÎÂ 2;œÓÎÂ 1;œÓÎÂ 4;œÓÎÂ 7
BAHB311316B;SKF;0;1807.08;1535.82;1355.64;1265.22;1246.74;1210.44
BAHB311396B;SKF;0;1567.5;1332.54;1175.46;1097.58;1081.74;1050.06
BAHB311424B;SKF;0;2376.66;2020.26;1782.66;1663.86;1640.1;1592.58
BAHB311443BB;SKF;0;1503.48;1277.76;1127.94;1052.7;1037.52;1007.16
BAHB633313EA;SKF;0;1160.94;986.7;870.54;812.46;801.24;778.14
BAHB633528F;SKF;0;2991.78;2542.98;2244;2094.18;2064.48;2004.42
BAHB633809AE;SKF;0;2562.12;2178;1921.92;1793.22;1768.14;1716.66
BAHB633966BB;SKF;0;1868.46;1587.96;1401.18;1308.12;1288.98;1252.02
BAHB633967;SKF;0;2800.38;2380.62;2100.12;1960.2;1932.48;1876.38
BAHB636035A;SKF;0;3272.94;2781.9;2454.54;2290.86;2258.52;2193.18
BAHB636060C;SKF;0;1106.16;940.5;829.62;774.18;762.96;741.18
BAHB636096A;SKF;0;1726.56;1467.84;1294.92;1208.46;1191.3;1156.98
BAHB636114A;SKF;0;1562.22;1327.92;1171.5;1093.62;1077.78;1046.76
BAHB636193C;SKF;0;1662.54;1413.06;1246.74;1163.58;1147.08;1114.08
BAR-0029D/VK108;SKF;0;4330.26;3680.82;3247.86;3031.38;2987.82;2901.36
BAR-0042AB/VK108;SKF;0;5881.26;4998.84;4410.78;4117.08;4058.34;3940.2
BAR-0045B/VK108;SKF;0;6164.4;5239.74;4623.3;4315.08;4253.7;4130.28
BAR-0048/VK108;SKF;0;5236.44;4451.04;3927.66;3665.64;3612.84;3508.56
BAR-0049E/VK108;SKF;0;6375.6;5419.26;4781.7;4462.92;4398.9;4271.52
BAR-0050AC/VK108;SKF;0;6238.98;5303.1;4679.4;4367.22;4305.18;4180.44
BAR-0051/VK210;SKF;0;7363.62;6258.78;5522.88;5154.6;5080.68;4933.5
BAR-0059AX;SKF;0;14863.86;12634.38;11148.06;10404.9;10255.74;9958.74
BAR-0078AA;SKF;0;7905.48;6719.46;5929.44;5534.1;5454.9;5296.5
BAR-0084D/VK407;SKF;0;4974.42;4227.96;3730.98;3482.16;3432.66;3333
BB1-0016A;SKF;0;1009.8;858.66;757.68;706.86;696.96;676.5
BB1-0078;SKF;0;621.06;528;465.96;434.94;428.34;415.8
BB1-0566;SKF;0;406.56;345.84;304.92;284.46;280.5;272.58
BB1-0603A;SKF;0;279.84;237.6;209.88;196.02;193.38;187.44
BB1-3036;SKF;0;416.46;353.76;312.18;291.72;287.1;279.18
BB1-3055B;SKF;0;1193.94;1015.08;895.62;835.56;823.68;799.92
BB1-3055C;SKF;0;972.18;826.32;729.3;680.46;670.56;651.42
BB1-3096;SKF;0;1081.08;918.72;811.14;757.02;745.8;724.02
BB1-3111;SKF;0;2166.78;1842.06;1624.92;1516.68;1494.9;1452
BB1-3160B;SKF;0;847.44;720.06;635.58;593.34;584.76;567.6
BB1-3162;SKF;0;2463.12;2093.52;1847.34;1723.92;1699.5;1650
BB1-3167;SKF;0;1897.5;1613.04;1422.96;1328.58;1309.44;1271.16
BB1-3172;SKF;0;1617.66;1374.78;1213.08;1132.56;1116.06;1083.72
BB1-3189;SKF;0;3876.18;3294.72;2907.3;2713.26;2674.32;2597.1
BB1-3255B;SKF;0;1547.7;1315.38;1160.94;1083.72;1067.88;1036.86
BB1-3357;SKF;0;6761.7;5747.28;5071.44;4733.52;4665.54;4530.24
BB1B362668A;SKF;0;2361.48;2007.06;1771.44;1653.3;1629.54;1582.02
BB1B362699C;SKF;0;5111.04;4344.12;3833.28;3577.86;3526.38;3424.08
BB1B362711A;SKF;0;3111.24;2644.62;2333.76;2178;2146.98;2084.28
BB1B362937B;SKF;0;2661.12;2261.82;1995.84;1862.52;1836.12;1782.66
BB1B363171C/HN3;SKF;0;3156.12;2682.9;2367.42;2209.02;2178;2114.64
BB1B363228DB;SKF;0;2180.64;1853.28;1635.48;1526.58;1504.8;1461.24
BB1B420205;SKF;0;269.94;229.68;202.62;188.76;186.12;180.84
BB1B446508AC;SKF;0;671.22;570.24;503.58;469.92;463.32;449.46
BB1B446740;SKF;0;1017.06;864.6;762.96;712.14;701.58;681.12
BC1-0013E;SKF;0;1731.84;1471.8;1298.88;1212.42;1195.26;1160.28
BC1-7005C;SKF;0;22255.86;18917.58;16692.06;15579.3;15356.22;14911.38
BC1B320297D;SKF;0;2757.48;2343.66;2068.44;1930.5;1902.78;1847.34
BC1B320330A;SKF;0;7398.6;6289.14;5549.28;5179.02;5105.1;4957.26
BC1B322722A;SKF;0;7391.34;6282.54;5543.34;5173.74;5099.82;4951.98
BC1B326145A;SKF;0;4282.74;3640.56;3212.22;2997.72;2954.82;2869.68
BC1B326548C;SKF;0;13065.36;11105.82;9799.02;9145.62;9014.94;8753.58
BC1B635251;SKF;0;3014.88;2562.78;2261.16;2110.68;2080.32;2020.26
BLAB366485C;SKF;0;9709.92;8253.3;7282.44;6796.68;6699.66;6505.62
BLRB366746A;SKF;0;6609.9;5618.58;4957.26;4627.26;4560.6;4428.6
BRUB362641A;SKF;0;31284.66;26592.06;23463.66;21899.46;21586.62;20960.94
BRUB363336B;SKF;0;6545.88;5563.8;4909.74;4582.38;4516.38;4385.7
BT1-0017A/Q;SKF;0;1329.24;1129.92;997.26;930.6;917.4;890.34
BT1-0082/QCL7C;SKF;0;784.74;667.26;588.72;549.12;541.2;526.02
BT1-0084/Q;SKF;0;8399.16;7139.22;6299.7;5879.28;5795.46;5627.16
BT1-0097C;SKF;0;3078.9;2616.9;2309.34;2155.56;2124.54;2063.16
BT1-0132/QCL7C;SKF;0;7679.76;6528.06;5759.82;5375.7;5299.14;5145.36
BT1-0175/QCL7C;SKF;0;3377.22;2870.34;2533.08;2364.12;2330.46;2262.48
BT1-0252/QVA621;SKF;0;755.04;641.52;566.28;528.66;520.74;505.56
BT1-1751/Q;SKF;0;1078.44;916.74;809.16;755.04;743.82;722.7
BT1B243799;SKF;0;15474.36;13153.14;11606.1;10831.92;10677.48;10367.94
BT1B328053AB/Q;SKF;0;1047.42;890.34;785.4;733.26;722.7;701.58
BT1B328227CA/Q;SKF;0;1521.3;1292.94;1141.14;1065.24;1049.4;1019.04
BT1B328236A/QCL7CVC027;SKF;0;984.72;836.88;738.54;689.04;679.14;660
BT1B328236A/QCL7CVK210;SKF;0;984.72;836.88;738.54;689.04;679.14;660
BT1B328251/Q;SKF;0;3990.36;3391.74;2993.1;2793.12;2753.52;2673.66
BT1B328286/Q;SKF;0;7203.24;6122.82;5402.76;5042.4;4970.46;4825.92
BT1B328406A/Q;SKF;0;6139.32;5218.62;4604.82;4297.26;4235.88;4113.12
BT1B328612CC/QCL7C;SKF;0;1147.74;975.48;860.64;803.22;792;768.9
BT1B328688AC/Q;SKF;0;528;448.8;396;369.6;364.32;353.76
BT1B328774/Q;SKF;0;6289.14;5346;4717.02;4402.2;4339.5;4213.44
BT1B328788/Q;SKF;0;5697.12;4842.42;4272.84;3987.72;3930.96;3816.78
BT1B329013A/Q;SKF;0;566.94;481.8;425.04;396.66;391.38;380.16
BT1B332541AB/Q;SKF;0;939.18;798.6;704.22;657.36;648.12;628.98
BT1B332589/QCL7C;SKF;0;7201.92;6121.5;5401.44;5041.08;4969.14;4825.26
BT1B332821BA/Q;SKF;0;1785.96;1518;1339.8;1250.04;1232.22;1196.58
BT1B332909A/QCL7C;SKF;0;3388.44;2880.24;2541.66;2372.04;2337.72;2270.4
BT1B332987/CL7CVQ060;SKF;0;4257.66;3618.78;3193.08;2980.56;2937.66;2852.52
BT1B639405/Q;SKF;0;2098.14;1783.32;1573.44;1468.5;1448.04;1405.8
BT2-0075E;SKF;0;35956.14;30562.62;26966.94;25169.1;24810.06;24090.66
BT2B1861704B;SKF;0;2304.72;1958.88;1728.54;1613.04;1589.94;1544.4
BT2B445539CC;SKF;0;1173.48;997.26;880.44;821.7;809.82;786.06
BT2B445620BB;SKF;0;1455.96;1237.5;1092.3;1019.04;1004.52;975.48
BTF-0068;SKF;0;18130.2;15411;13597.98;12691.14;12509.64;12147.3
BTF-1125C;SKF;0;5464.8;4645.08;4098.6;3825.36;3770.58;3661.68
BTFB328755D;SKF;0;15102.12;12837;11326.92;10571.22;10420.74;10118.46
BTH-0053;SKF;0;18363.84;15609;13772.88;12854.82;12671.34;12303.72
BTH-0054;SKF;0;16466.34;13996.62;12349.92;11526.24;11361.9;11032.56
BTH-0055D;SKF;0;11689.92;9936.3;8767.44;8182.68;8065.86;7832.22
BTH-1053B;SKF;0;9125.16;7756.32;6844.2;6387.48;6296.4;6113.58
BTH-1204;SKF;0;1645.38;1398.54;1234.2;1151.7;1135.2;1102.2
BTH-1206AB;SKF;0;2123.22;1804.44;1592.58;1486.32;1465.2;1422.3
BTH-1209E;SKF;0;2300.1;1954.92;1725.24;1610.4;1587.3;1541.1
BTH-1215C;SKF;0;4458.3;3789.72;3343.56;3121.14;3076.26;2987.16
BTH-1219AB;SKF;0;5541.36;4710.42;4156.02;3878.82;3823.38;3712.5
BTH-1222B;SKF;0;2199.78;1869.78;1650;1539.78;1518;1473.78
BTH-1227;SKF;0;4206.18;3575.22;3154.8;2944.26;2902.02;2818.2
BTHB-329129AAE;SKF;0;3525.06;2996.4;2643.96;2467.74;2432.1;2361.48
BTHB-329129ABA;SKF;0;3356.76;2853.18;2517.9;2349.6;2315.94;2249.28
BTHB1861887A/Q;SKF;0;4405.5;3744.84;3303.96;3084.18;3039.96;2951.52
BTHB1861887AA;SKF;0;3917.76;3330.36;2938.32;2742.3;2703.36;2624.82
BTHB329129ABC;SKF;0;5342.04;4540.8;4006.86;3739.56;3686.1;3579.18
BTHB329129CE;SKF;0;2904;2468.4;2178;2032.8;2003.76;1945.68
BTHB329129DE;SKF;0;1945.02;1653.3;1458.6;1361.58;1341.78;1302.84
GEH20C/VQ263;SKF;0;1865.82;1585.98;1399.2;1306.14;1287.66;1250.04
GEH30TXG3E-2LS;SKF;0;7295.64;6201.36;5472.06;5107.08;5033.82;4887.96
HM218210/2A/Q;SKF;0;870.54;739.86;652.74;609.18;600.6;583.44
HM218248/W/2A/210/2A/Q;SKF;0;4805.46;4084.74;3604.26;3364.02;3315.84;3219.48
HM218248/W/2A/Q;SKF;0;3167.34;2692.14;2375.34;2216.94;2185.26;2121.9
HM220110/Q;SKF;0;2108.04;1791.9;1581.36;1475.76;1454.64;1412.4
HM220149/110/Q;SKF;0;9654.48;8206.44;7240.86;6758.4;6661.38;6468.66
HM220149/Q;SKF;0;5963.1;5068.8;4472.16;4174.5;4114.44;3994.98
HM801346/310/Q;SKF;0;3132.36;2662.44;2349.6;2192.52;2161.5;2098.8
HM801346X/310/QCL7A;SKF;0;2821.5;2398.44;2115.96;1975.38;1947;1890.24
HM803110/2/QCL7C;SKF;0;659.34;560.34;494.34;461.34;454.74;441.54
HM803146/2/110/2/QCL7C;SKF;0;2638.68;2242.68;1979.34;1847.34;1820.94;1768.14
HM803146/2/QCL7C;SKF;0;1113.42;946.44;834.9;779.46;768.24;745.8
HM803149/2/110/2/QCL7C;SKF;0;3091.44;2627.46;2318.58;2164.14;2133.12;2071.08
HM88510/2/QCL7C;SKF;0;879.12;747.12;659.34;615.12;606.54;588.72
HM88542/2/510/2/QCL7C;SKF;0;2335.08;1984.62;1751.64;1634.82;1611.06;1564.2
HM88542/2/QCL7C;SKF;0;1360.92;1156.98;1021.02;952.38;939.18;912.12
HM88610/2/QCL7C;SKF;0;608.52;517.44;456.72;425.7;419.76;407.88
HM88649/2/610/2/QCL7C;SKF;0;1795.86;1526.58;1347.06;1257.3;1238.82;1203.18
HM88649/2/QCL7C;SKF;0;1005.84;854.7;754.38;704.22;694.32;673.86
HM89410/2/QCL7C;SKF;0;940.5;799.26;705.54;658.68;648.78;630.3
HM89446/2/QCL7C;SKF;0;1273.8;1083.06;955.68;891.66;879.12;853.38
HM89449/2/410/2/QCL7C;SKF;0;2336.4;1985.94;1752.3;1635.48;1612.38;1565.52
HM89449/2/QCL7C;SKF;0;1236.18;1050.72;927.3;865.26;852.72;828.3
HP407 965 : 6399800364 ”œ–”√»… ›À≈Ã≈Õ“ MERCEDES/SMART;SKF;0;682.44;580.14;512.16;477.84;470.58;457.38
JL69349/310/Q;SKF;0;1167.54;992.64;875.82;817.08;805.86;782.1
JL69349A/310/Q;SKF;0;1298.88;1104.18;974.16;909.48;896.28;870.54
JL69349X/310/Q;SKF;0;1207.8;1026.96;906.18;845.46;833.58;809.16
JLM104910AA/Q;SKF;0;546.48;464.64;409.86;382.8;376.86;366.3
L44643/610;SKF;0;656.04;557.7;492.36;459.36;452.76;439.56
L44649/610/Q;SKF;0;578.16;491.7;433.62;404.58;398.64;387.42
L45410/Q;SKF;0;147.84;125.4;110.88;103.62;102.3;99
L45449/410/Q;SKF;0;441.54;375.54;331.32;308.88;304.92;295.68
L639062;SKF;0;1054.68;896.28;791.34;738.54;727.98;706.86
L68149/110/Q;SKF;0;674.52;573.54;506.22;471.9;465.3;452.1
L68149/111/Q;SKF;0;669.9;569.58;502.26;469.26;462;448.8
LAGF18;SKF;0;15675;13324.08;11756.58;10972.5;10816.08;10502.58
LAGF50;SKF;0;17955.96;15262.5;13467.3;12569.04;12389.52;12030.48
LM102910/Q;SKF;0;383.46;326.04;287.76;268.62;264.66;256.74
LM102949/910/Q;SKF;0;1110.12;943.8;832.92;776.82;766.26;743.82
LM102949/Q;SKF;0;677.16;575.52;508.2;473.88;467.28;453.42
LM104911/Q;SKF;0;445.5;378.84;333.96;312.18;307.56;298.32
LM104949/Q;SKF;0;859.32;730.62;644.82;601.26;592.68;575.52
LM11749/710/QVC027VK210;SKF;0;475.2;403.92;356.4;332.64;328.02;318.12
LM11749/QVC027;SKF;0;260.7;221.76;195.36;182.82;180.18;174.9
LM11949/910/Q;SKF;0;427.68;363.66;320.76;299.64;295.02;286.44
LM11949/Q;SKF;0;479.16;407.22;359.7;335.28;330.66;320.76
LM12749/710/Q;SKF;0;684.42;581.46;513.48;479.16;472.56;458.7
LM29749/710/Q;SKF;0;862.62;733.26;646.8;603.9;595.32;578.16
LM300811/Q;SKF;0;232.98;198;174.9;163.02;161.04;156.42
LM300849/811/Q;SKF;0;924;785.4;693;646.8;637.56;619.08
LM300849/811/QVK210;SKF;0;972.18;826.32;729.3;680.46;670.56;651.42
LM48510/Q;SKF;0;451.44;383.46;338.58;316.14;311.52;302.28
LM48548/510/Q;SKF;0;781.44;663.96;586.08;547.14;539.22;523.38
LM48548/Q;SKF;0;345.84;293.7;259.38;242.22;238.92;231.66
LM501349/310/Q;SKF;0;930.6;791.34;698.28;651.42;642.18;623.7
LM501349/314/Q;SKF;0;895.62;760.98;671.88;627;617.76;599.94
LM503310/QCL7C;SKF;0;253.44;215.16;190.08;177.54;174.9;169.62
LM503349/310/QCL7C;SKF;0;795.3;675.84;596.64;557.04;548.46;532.62
LM503349A/310/QCL7C;SKF;0;975.48;828.96;731.94;683.1;673.2;653.4
LM503349A/QCL7C;SKF;0;519.42;441.54;389.4;363.66;358.38;347.82
LM603011/Q;SKF;0;554.4;471.24;415.8;388.08;382.8;371.58
LM603049/011/Q;SKF;0;1641.42;1395.24;1230.9;1149.06;1132.56;1099.56
LM603049/Q;SKF;0;720.06;611.82;539.88;504.24;496.98;482.46
LM67010/Q;SKF;0;207.24;176.22;155.76;145.2;143.22;138.6
LM67048/010/QVK210;SKF;0;731.28;621.72;548.46;512.16;504.9;489.72
LM67048/Q;SKF;0;436.26;370.92;327.36;305.58;300.96;292.38
M12610/Q;SKF;0;326.04;277.2;244.86;228.36;225.06;218.46
M12649/610/Q;SKF;0;723.36;615.12;542.52;506.22;498.96;484.44
M12649/Q;SKF;0;489.06;415.8;366.96;342.54;337.26;327.36
M802048/011/QCL7C;SKF;0;1543.74;1312.08;1157.64;1080.42;1065.24;1034.22
M86610/QCL7C;SKF;0;475.2;403.92;356.4;332.64;328.02;318.12
M86647/610/QCL7C;SKF;0;1499.52;1274.46;1124.64;1049.4;1034.88;1004.52
M86647/QCL7C;SKF;0;990.66;842.16;743.16;693.66;683.76;663.96
M86649/2/610/2/QVQ506;SKF;0;1475.76;1254.66;1106.82;1032.9;1018.38;988.68
M88010/2/QCL7C;SKF;0;721.38;613.14;541.2;504.9;497.64;483.12
M88043/QCL7C;SKF;0;1191.3;1012.44;893.64;834.24;821.7;797.94
M88048/2/010/2/QCL7C;SKF;0;1645.38;1398.54;1234.2;1151.7;1135.2;1102.2
NJ2204ECP/VB021;SKF;0;3467.64;2947.56;2601.06;2427.48;2392.5;2323.2
RBT1B328915/Q;SKF;0;2446.62;2079.66;1834.8;1712.7;1688.28;1639.44
VKBA007;SKF;0;1266.54;1076.46;949.74;886.38;873.84;848.76
VKBA1301;SKF;0;4958.58;4214.76;3719.1;3470.94;3421.44;3322.44
VKBA1306;SKF;0;1799.82;1529.88;1349.7;1259.94;1242.12;1205.82
VKBA1307;SKF;0;1461.9;1242.78;1096.26;1023.66;1008.48;979.44
VKBA1310;SKF;0;1017.06;864.6;762.96;712.14;701.58;681.12
VKBA1313;SKF;0;8151;6928.68;6113.58;5705.7;5624.52;5461.5
VKBA1314;SKF;0;3873.54;3292.74;2905.32;2711.28;2673;2595.12
VKBA1315;SKF;0;2016.3;1714.02;1512.06;1411.74;1391.28;1351.02
VKBA1317;SKF;0;2055.24;1747.02;1541.76;1438.8;1418.34;1376.76
VKBA1318;SKF;0;1844.7;1568.16;1383.36;1291.62;1273.14;1236.18
VKBA1319;SKF;0;1921.26;1632.84;1440.78;1345.08;1325.94;1287
VKBA1320;SKF;0;2127.84;1808.4;1595.88;1489.62;1468.5;1425.6
VKBA1321;SKF;0;1343.1;1141.8;1007.16;940.5;926.64;899.58
VKBA1322;SKF;0;1493.58;1269.84;1120.02;1045.44;1030.26;1000.56
VKBA1325;SKF;0;2857.8;2429.46;2143.68;2000.46;1972.08;1914.66
VKBA1326;SKF;0;2335.08;1984.62;1751.64;1634.82;1611.06;1564.2
VKBA1327;SKF;0;2002.44;1702.14;1502.16;1401.84;1381.38;1341.78
VKBA1328;SKF;0;1903.44;1617.66;1427.58;1332.54;1313.4;1275.12
VKBA1333;SKF;0;1005.84;854.7;754.38;704.22;694.32;673.86
VKBA1337;SKF;0;1754.28;1490.94;1316.04;1228.26;1210.44;1175.46
VKBA1340;SKF;0;2627.46;2233.44;1970.76;1839.42;1813.02;1760.22
VKBA1341;SKF;0;2383.92;2026.2;1787.94;1668.48;1644.72;1597.2
VKBA1342;SKF;0;3960;3366;2970;2772;2732.4;2653.2
VKBA1344;SKF;0;3183.84;2706;2387.88;2228.82;2197.14;2133.12
VKBA1345;SKF;0;2442.66;2076.36;1832.16;1710.06;1685.64;1636.8
VKBA1346;SKF;0;2713.92;2306.7;2035.44;1899.48;1872.42;1818.3
VKBA1347;SKF;0;5358.54;4554.66;4018.74;3750.78;3697.32;3590.4
VKBA1348;SKF;0;3405.6;2894.76;2554.2;2383.92;2349.6;2281.62
VKBA1349;SKF;0;3715.8;3158.76;2787.18;2601.06;2564.1;2489.52
VKBA1355;SKF;0;1811.04;1539.12;1358.28;1267.86;1249.38;1213.08
VKBA1356;SKF;0;2760.12;2346.3;2070.42;1931.82;1904.76;1849.32
VKBA1358;SKF;0;1562.22;1327.92;1171.5;1093.62;1077.78;1046.76
VKBA1359;SKF;0;4050.42;3442.56;3037.98;2835.36;2795.1;2713.92
VKBA1361;SKF;0;1873.74;1592.58;1405.14;1311.42;1292.94;1255.32
VKBA1363;SKF;0;2751.54;2339.04;2063.82;1925.88;1898.82;1843.38
VKBA1365;SKF;0;4621.98;3928.98;3466.32;3235.32;3189.12;3096.72
VKBA1366;SKF;0;1739.1;1478.4;1304.16;1217.7;1199.88;1164.9
VKBA1367;SKF;0;2224.86;1890.9;1668.48;1557.6;1535.16;1490.94
VKBA1369;SKF;0;2222.22;1888.92;1666.5;1555.62;1533.18;1488.96
VKBA1370;SKF;0;1574.76;1338.48;1181.4;1102.2;1086.36;1055.34
VKBA1371;SKF;0;1164.9;990;873.84;815.76;803.88;780.78
VKBA1374;SKF;0;3470.94;2950.2;2603.04;2429.46;2395.14;2325.84
VKBA1375;SKF;0;4925.58;4187.04;3694.02;3447.84;3398.34;3300
VKBA1377;SKF;0;2856.48;2428.14;2142.36;1999.8;1970.76;1914
VKBA1379;SKF;0;3692.04;3138.3;2769.36;2584.56;2547.6;2473.68
VKBA1383;SKF;0;3829.98;3255.78;2872.32;2680.92;2642.64;2566.08
VKBA1385;SKF;0;3996.3;3397.02;2997.06;2797.74;2757.48;2677.62
VKBA1386;SKF;0;3971.22;3375.24;2978.58;2779.92;2740.32;2660.46
VKBA1393;SKF;0;3058.44;2599.74;2294.16;2141.04;2110.02;2049.3
VKBA1397;SKF;0;5903.7;5017.98;4427.94;4132.92;4073.52;3955.38
VKBA1400;SKF;0;2261.16;1921.92;1696.2;1582.68;1560.24;1514.7
VKBA1401;SKF;0;1538.46;1307.46;1153.68;1077.12;1061.28;1030.92
VKBA1402;SKF;0;1564.86;1329.9;1173.48;1095.6;1079.76;1048.74
VKBA1403;SKF;0;1729.2;1469.82;1296.9;1210.44;1193.28;1158.3
VKBA1406;SKF;0;11160.6;9486.84;8370.78;7812.42;7700.88;7477.8
VKBA1408;SKF;0;10183.8;8656.56;7638.18;7128.66;7027.02;6823.08
VKBA1409;SKF;0;10309.2;8762.82;7731.9;7216.44;7113.48;6906.9
VKBA1410;SKF;0;1865.82;1585.98;1399.2;1306.14;1287.66;1250.04
VKBA1414;SKF;0;1566.18;1331.22;1174.8;1096.26;1080.42;1049.4
VKBA1417;SKF;0;1390.62;1182.06;1042.8;973.5;959.64;931.92
VKBA1419;SKF;0;1423.62;1209.78;1067.88;996.6;982.08;953.7
VKBA1420;SKF;0;2923.14;2484.9;2192.52;2046;2016.96;1958.22
VKBA1422;SKF;0;1459.92;1240.8;1094.94;1021.68;1007.16;978.12
VKBA1423;SKF;0;1422.3;1209.12;1066.56;995.94;981.42;953.04
VKBA1424;SKF;0;1316.7;1119.36;987.36;922.02;908.82;882.42
VKBA1431;SKF;0;3041.28;2585.22;2280.96;2129.16;2098.8;2037.42
VKBA1432;SKF;0;1360.92;1156.98;1021.02;952.38;939.18;912.12
VKBA1433;SKF;0;1808.4;1537.14;1356.3;1265.88;1248.06;1211.76
VKBA1435;SKF;0;10402.92;8842.68;7802.52;7281.78;7178.16;6970.26
VKBA1436;SKF;0;9728.4;8269.14;7296.3;6809.88;6712.86;6518.16
VKBA1437;SKF;0;10728.96;9119.88;8046.72;7510.14;7403.22;7188.72
VKBA1438;SKF;0;1922.58;1634.16;1442.1;1345.74;1326.6;1288.32
VKBA1439;SKF;0;1886.28;1603.14;1415.04;1320.66;1301.52;1263.9
VKBA1440;SKF;0;2748.9;2336.4;2061.84;1924.56;1896.84;1842.06
VKBA1441;SKF;0;7767.54;6602.64;5825.82;5437.08;5359.86;5204.1
VKBA1443;SKF;0;6193.44;5264.16;4645.08;4335.54;4273.5;4149.42
VKBA1444;SKF;0;3063.72;2604.36;2298.12;2144.34;2113.98;2052.6
VKBA1445;SKF;0;2544.3;2162.82;1908.06;1781.34;1755.6;1704.78
VKBA1452;SKF;0;5895.12;5010.72;4421.34;4126.32;4067.58;3949.44
VKBA1458;SKF;0;8151;6928.68;6113.58;5705.7;5624.52;5461.5
VKBA1459;SKF;0;1922.58;1634.16;1442.1;1345.74;1326.6;1288.32
VKBA1460;SKF;0;1913.34;1626.24;1434.84;1339.14;1320;1281.72
VKBA1465;SKF;0;1311.42;1114.74;983.4;918.06;904.86;878.46
VKBA1466;SKF;0;4043.16;3436.62;3032.7;2830.08;2789.82;2708.64
VKBA1467;SKF;0;7636.86;6491.1;5727.48;5346;5269.44;5116.98
VKBA1470;SKF;0;6335.34;5384.94;4751.34;4434.54;4371.18;4244.46
VKBA1473;SKF;0;2486.88;2113.98;1865.16;1741.08;1716;1666.5
VKBA1480;SKF;0;1696.86;1442.1;1272.48;1188;1170.84;1137.18
VKBA1481;SKF;0;8700.12;7395.3;6525.42;6089.82;6003.36;5829.12
VKBA1482;SKF;0;6739.26;5728.14;5054.28;4717.68;4650.36;4515.06
VKBA1487;SKF;0;1461.9;1242.78;1096.26;1023.66;1008.48;979.44
VKBA1488;SKF;0;2882.88;2450.58;2162.16;2018.28;1989.24;1931.82
VKBA1491;SKF;0;2599.74;2209.68;1949.64;1819.62;1793.88;1741.74
VKBA1495;SKF;0;2126.52;1807.74;1595.22;1488.3;1467.18;1424.94
VKBA1498;SKF;0;1525.92;1296.9;1144.44;1067.88;1052.7;1022.34
VKBA1499;SKF;0;1868.46;1587.96;1401.18;1308.12;1288.98;1252.02
VKBA1643;SKF;0;12832.38;10907.82;9624.12;8982.6;8854.56;8597.82
VKBA1905;SKF;0;1552.32;1319.34;1164.24;1086.36;1071.18;1040.16
VKBA1906;SKF;0;2053.92;1745.7;1540.44;1437.48;1417.02;1376.1
